budget,genres,homepage,id,keywords,original_language,original_title,overview,popularity,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,vote_average,vote_count
48000000,"Thriller, Action",http://www.taken3movie.com/,260346,"revenge, murder, on the run, fugitive, framed, father daughter relationship, framed for murder",en,Taken 3,"Ex-government operative Bryan Mills finds his life is shattered when he's falsely accused of a murder that hits close to home. As he's pursued by a savvy police inspector, Mills employs his particular set of skills to track the real killer and exact his unique brand of justice.",88.844777,"Twentieth Century Fox Film Corporation, M6 Films, Canal+, Grive Productions, EuropaCorp, Ciné+, M6, TSG Entertainment, Taken 3","France, United States of America",2014-12-16,325771424,109.0,English,Released,It Ends Here,Taken 3,6.1,2200
48000000,"Romance, Comedy, Crime",,1389,"journalist, bedroom, purse, trunk, elmore leonard",en,Out of Sight,"Meet Jack Foley, a smooth criminal who bends the law and is determined to make one last heist. Karen Sisco is a federal marshal who chooses all the right moves … and all the wrong guys. Now they're willing to risk it all to find out if there's more between them than just the law. Variety hails Out of Sight as ""a sly, sexy, vastly entertaining film.""",16.000178,"Universal Pictures, Jersey Films",United States of America,1998-06-26,77745568,123.0,English,Released,Opposites attract.,Out of Sight,6.5,333
47000000,"Comedy, Drama, Thriller",,9894,"prison, prostitute, karaoke, dark comedy, cable guy",en,The Cable Guy,"When recently single Steven moves into his new apartment, cable guy Chip comes to hook him up -- and doesn't let go. Initially, Chip is just overzealous in his desire to be Steven's pal, but when Steven tries to end the ""friendship,"" Chip shows his dark side. He begins stalking Steven, who's left to fend for himself because no one else can believe Chip's capable of such behavior.",19.525659,Columbia Pictures Corporation,United States of America,1996-06-10,102825796,96.0,English,Released,There's no such thing as free cable.,The Cable Guy,5.7,594
0,Drama,,7504,"based on novel, war of independence, period drama, woman director, partition, 1940s, lahore",hi,1947: Earth,It's 1947 and the borderlines between India and Pakistan are being drawn. A young girl bears witnesses to tragedy as her ayah is caught between the love of two men and the rising tide of political and religious violence.,1.246883,Cracking the Earth Films,"Canada, India",1998-09-16,528972,101.0,हिन्दी,Released,,Earth,6.6,9
47000000,"Adventure, Action, Comedy, Thriller, Crime",,8592,"corruption, crime fighter, gangster boss, investigation, based on comic strip, policeman",en,Dick Tracy,"The comic strip detective finds his life vastly complicated when Breathless Mahoney makes advances towards him while he is trying to battle Big Boy Caprice's united mob,",7.859226,Touchstone Pictures,United States of America,1990-06-15,103738726,103.0,English,Released,Their turf. Their game. Their rules. They didn't count on HIS law...,Dick Tracy,5.9,251
48000000,"Drama, Crime, Romance",,913,"martinique, claude monet, famous painting, glider, insurance agent, missing painting, stolen painting, valuable painting, rich people",en,The Thomas Crown Affair,"A very rich and successful playboy amuses himself by stealing artwork, but may have met his match in a seductive detective.",18.102572,"Irish Dreamtime, Metro-Goldwyn-Mayer (MGM)",United States of America,1999-08-06,124305181,113.0,English,Released,How do you get the man who has everything?,The Thomas Crown Affair,6.6,339
48000000,"Comedy, Drama, Romance",,11091,"baby, becoming an adult, puberty, dream, drug addiction, wife, unwillingly pregnant, writer, youth, marriage problems, woman director",en,Riding in Cars with Boys,"A single mother, with dreams of becoming a writer, has a son at the age of 15 in 1965, and goes through a failed marriage with the drug-addicted father.",7.226115,Columbia Pictures,United States of America,2001-10-19,35743308,132.0,English,Released,One day can make your life; one day can ruin your life. All life is is four or five big days that change everything.,Riding in Cars with Boys,6.5,103
15000000,"Action, Adventure, Thriller, War",,1368,"prison, vietnam veteran, falsely accused, police brutality, sheriff, guerrilla, submachine gun, gun, destroy, self-defense, vietnam, vietnam war, prosecution, dying and death, village and town, police operation, attempt to escape, matter of life and death, survivor, tramp, national guard, weapon, firearm, police, escape",en,First Blood,"When former Green Beret John Rambo is harassed by local law enforcement and arrested for vagrancy, the Vietnam vet snaps, runs for the hills and rat-a-tat-tats his way into the action-movie hall of fame. Hounded by a relentless sheriff, Rambo employs heavy-handed guerilla tactics to shake the cops off his tail.",63.071046,Orion Pictures,United States of America,1982-10-22,125212904,93.0,English,Released,This time he's fighting for his life.,First Blood,7.2,1488
0,"Drama, Science Fiction, Adventure, Mystery",,593,"1970s, loss of sense of reality, extraterrestrial technology, subconsciousness, russian, hallucination, space travel, astronaut, soviet",ru,Солярис,"Ground control has been receiving strange transmissions from the three remaining residents of the Solaris space station. When cosmonaut and psychologist Kris Kelvin is sent to investigate, he experiences the strange phenomena that afflict the Solaris crew, sending him on a voyage into the darkest recesses of his own consciousness. Based on the novel by the same name from Polish author Stanislaw Lem.",24.132271,"Mosfilm, Creative Unit of Writers & Cinema Workers, Unit Four",Russia,1972-03-20,0,167.0,Pусский,Released,,Solaris,7.7,357
47000000,"Animation, Comedy, Family, Fantasy, Science Fiction",http://www.happilyneverafterthefilm.com/,5393,"dwarves, cinderella, wolf, bad mother-in-law, prince, fairy tale, little red riding hood, step mother, wizardry, princess, sleeping beauty, rumpelstilzchen, good and bad, intern, woman director",en,Happily N'Ever After,"An alliance of evil-doers, led by Frieda, looks to take over Fairy Tale Land. But when Ella realizes her stepmother is out to ruin her storybook existence, she takes a dramatic turn and blossoms into the leader of the resistance effort.",10.410933,"Vanguard Films, Lionsgate, Odyssey, Nitrogen Studios Canada","Germany, United States of America",2006-09-14,38085778,75.0,English,Released,Fairy Tale Endings Aren't What They Used To Be,Happily N'Ever After,4.6,104
47000000,"Drama, Horror, Thriller, Romance",,9095,"servant, monster, laboratory, jekyll and hyde, housemaid, 19th century",en,Mary Reilly,"A housemaid falls in love with Dr. Jekyll and his darkly mysterious counterpart, Mr. Hyde.",6.067212,"TriStar Pictures, NFH Productions",United States of America,1996-02-23,12379402,104.0,English,Released,The untold story of Jekyll and Hyde,Mary Reilly,5.7,74
38000000,"Comedy, Romance",,8874,"karaoke, marriage proposal, new love, love of one's life, kiss, man-woman relation, secret love, wedding",en,My Best Friend's Wedding,"When she receives word that her longtime platonic pal Michael O'Neal is getting married to debutante Kimberly Wallace, food critic Julianne Potter realizes her true feelings for Michael -- and sets out to sabotage the wedding.",15.401855,TriStar Pictures,United States of America,1997-06-19,299288605,105.0,"English, Français, Italiano",Released,It's about finding the love of your life. And deciding what to do about it.,My Best Friend's Wedding,6.3,584
0,"Comedy, Romance",,11467,"film business, film producer, wife husband relationship, fictitious marriage, married couple, marriage crisis",en,America's Sweethearts,"In the midst of a nasty public breakup of married movie stars, a studio publicist scrambles to put a cap on the escalating situation as the couple's latest film has found it's only print kidnapped by the director.",10.698929,"Columbia Pictures, Revolution Studios, Roth-Arnold Productions",United States of America,2001-07-17,0,102.0,English,Released,Hollywood's hottest couple just split up. It'll take more than special effects to reunite them.,America's Sweethearts,5.5,252
46000000,"Crime, Mystery, Thriller",,320,"detective, confession, fbi, homicide, blackmail, suspect, love, murder, los angeles, teenager, neo-noir",en,Insomnia,Two Los Angeles homicide detectives are dispatched to a northern town where the sun doesn't set to investigate the methodical murder of a local teen.,41.322708,"Section Eight, Alcon Entertainment, Witt/Thomas Productions",United States of America,2002-05-24,113714830,118.0,English,Released,A tough cop. A brilliant killer. An unspeakable crime.,Insomnia,6.8,1148
46000000,"Science Fiction, Action, Adventure, Thriller",http://www.startrek.com/startrek/view/series/MOV/008/index.html,199,"federation, starfleet, borg, enterprise-e, cyborg, montana, resistance, inventor, repayment, obsession, business start-up, space opera",en,Star Trek: First Contact,"The Borg, a relentless race of cyborgs, are on a direct course for Earth. Violating orders to stay away from the battle, Captain Picard and the crew of the newly-commissioned USS Enterprise E pursue the Borg back in time to prevent the invaders from changing Federation history and assimilating the galaxy.",25.6713,"Paramount Pictures, Digital Image Associates",United States of America,1996-11-21,150000000,111.0,English,Released,Resistance is futile.,Star Trek: First Contact,7.0,661
47000000,"Action, Western, Drama, Fantasy, Thriller",http://jonah-hex.warnerbros.com/,20533,"gunslinger, usa, dc comics, hell, facial scar, death, confederate, tomahawk",en,Jonah Hex,"Gunslinger Jonah Hex (Josh Brolin) is appointed by President Ulysses Grant to track down terrorist Quentin Turnbull (John Malkovich), a former Confederate officer determined on unleashing hell on earth. Jonah not only secures freedom by accepting this task, he also gets revenge on the man who slayed his wife and child. Megan Fox plays a prostitute as well as Jonah Hex's love interst in the film.",22.581313,Warner Bros.,United States of America,2010-06-18,10539000,80.0,English,Released,Revenge gets ugly.,Jonah Hex,4.4,420
46000000,"Drama, Thriller, Mystery, War",,10684,"gulf war, pilot, u.s. army, praise, rescue mission, dead soldier, tank, medal",en,Courage Under Fire,"A US Army officer had made a ""friendly fire"" mistake that was covered up and he was reassigned to a desk job. Later he was tasked to investigate a female chopper commander's worthiness to be awarded the Medal of Honor posthumously. At first all seemed in order then he begins to notice inconsistencies between the testimonies of the witnesses....",12.971122,Fox 2000 Pictures,United States of America,1996-07-04,100860818,117.0,English,Released,A medal for honor. A search for justice. A battle for truth.,Courage Under Fire,6.2,232
45000000,Comedy,,1624,"california, workaholic, birthday, lie, pregnancy and birth, wish, 1990s",en,Liar Liar,"Fletcher Reede is a fast-talking attorney and habitual liar. When his son Max blows out the candles on his fifth birthday he has just one wish - that his dad will stop lying for 24 hours. When Max's wish comes true, Fletcher discovers that his mouth has suddenly become his biggest liability.",26.721386,"Imagine Entertainment, Universal Pictures",United States of America,1997-03-21,181000000,86.0,English,Released,Trust me.,Liar Liar,6.4,1424
25000000,"Crime, Drama, Thriller",http://www.theinfiltrator.com/,325789,"undercover, biography, drug, drug lord",en,The Infiltrator,A U.S Customs official uncovers a massive money laundering scheme involving Pablo Escobar.,24.672234,Good Films,United Kingdom,2016-07-13,15436808,127.0,"English, Español",Released,The true story of one man against the biggest drug cartel in history.,The Infiltrator,6.6,573
46000000,"Fantasy, Comedy, Family",,888,"manager, jealousy, bad mother-in-law, adoption, family's daily life, stone age, plan, friendship, best friend, dinosaur",en,The Flintstones,Modern Stone Age family the Flintstones hit the big screen in this live-action version of the classic cartoon. Fred helps Barney adopt a child. Barney sees an opportunity to repay him when Slate Mining tests its employees to find a new executive. But no good deed goes unpunished.,28.964162,"Universal Pictures, Amblin Entertainment, Hanna-Barbera Productions",United States of America,1994-05-26,341631208,91.0,English,Released,Yabba-Dabba-Doo!,The Flintstones,5.0,543
45000000,"Action, Crime, Thriller",,82675,"kidnapping, turkey, police chase, bag over head, violence, fbi agent, teenage daughter, stealing a car, ex-husband ex-wife relationship, albanian, u.s. embassy, killed in an elevator, security guard killed",en,Taken 2,"In Istanbul, retired CIA operative Bryan Mills and his wife are taken hostage by the father of a kidnapper Mills killed while rescuing his daughter.",49.353524,"Twentieth Century Fox Film Corporation, M6 Films, Canal+, Grive Productions, EuropaCorp, Ciné+",France,2012-09-27,376141306,91.0,"English, Türkçe, العربية",Released,First they took his daughter. Now they're coming for him.,Taken 2,6.1,2757
48000000,Comedy,,4256,horror spoof,en,Scary Movie 3,"In the third installment of the Scary Movie franchise, news anchorwoman Cindy Campbell has to investigate mysterious crop circles and killing video tapes, and help the President stop an alien invasion in the process.",36.585509,"Dimension Films, Brad Grey Pictures",United States of America,2003-10-24,220673217,84.0,English,Released,Great trilogies come in threes.,Scary Movie 3,5.8,912
45000000,"Comedy, Crime, Action",,1493,"undercover agent, beauty contest, terrorism",en,Miss Congeniality,"When the local FBI office receives a letter from a terrorist known only as 'The Citizen', it's quickly determined that he's planning his next act at the Miss America beauty pageant. Because tough-as-nails Gracie Hart is the only female Agent at the office, she's chosen to go undercover as the contestant from New Jersey.",32.624355,"Village Roadshow Pictures, Castle Rock Entertainment, NPV Entertainment, Fortis Films",United States of America,2000-12-14,212000000,111.0,"English, Español, Français, Pусский",Released,Never Mess With An Agent In A Dress.,Miss Congeniality,6.1,961
45000000,"Action, Science Fiction, Adventure, Comedy, Family",,88751,"volcano, prehistoric, dinosaur, prehistoric creature, 3d",en,Journey to the Center of the Earth,"On a quest to find out what happened to his missing brother, a scientist, his nephew and their mountain guide discover a fantastic and dangerous lost world in the center of the earth.",53.090422,"New Line Cinema, Walden Media",United States of America,2008-07-10,101702060,93.0,"English, Íslenska, Italiano",Released,Same Planet. Different World.,Journey to the Center of the Earth,5.8,1309
40000000,"Comedy, Drama, Family, Romance",,11130,"coronation, duty, marriage, falling in love",en,The Princess Diaries 2: Royal Engagement,"Mia Thermopolis is now a college graduate and on her way to Genovia to take up her duties as princess. Her best friend Lilly also joins her for the summer. Mia continues her 'princess lessons'- riding horses side-saddle, archery, and other royal. But her complicated life is turned upside down once again when she not only learns that she is to take the crown as queen earlier than expected...",30.002907,Walt Disney Pictures,United States of America,2004-08-06,95149435,113.0,English,Released,It can take a lifetime to find true love; she's got 30 days!,The Princess Diaries 2: Royal Engagement,6.0,697
45000000,"Drama, Mystery, Thriller, Crime",,9944,"judge, professor, mission of murder, supreme court",en,The Pelican Brief,Two Supreme Court Justices have been assassinated. One lone law student has stumbled upon the truth. An investigative journalist wants her story. Everybody else wants her dead.,17.923254,Warner Bros.,United States of America,1993-12-16,195268056,141.0,English,Released,Two Supreme Court Justices have been assassinated. One lone law student has stumbled upon the truth. An investigative journalist wants her story. Everybody else wants her dead.,The Pelican Brief,6.3,371
45000000,"Drama, Thriller, Crime, Mystery",,10731,"suicide, brother brother relationship, witness protection, principal witness , brother, investigation, search for witnesses, lawyer, gangster",en,The Client,"A street-wise kid, Mark Sway, sees the suicide of Jerome Clifford, a prominent Louisiana lawyer, whose current client is Barry 'The Blade' Muldano, a Mafia hit-man. Before Jerome shoots himself, he tells Mark where the body of a Senator is buried. Clifford shoots himself and Mark is found at the scene, and both the FBI and the Mafia quickly realize that Mark probably knows more than he says.",17.746719,"Regency Enterprises, Alcor Films, Warner Bros.",United States of America,1994-07-20,117615211,119.0,English,Released,A district attorney out for a conviction. A new lawyer out of her league. A young boy who knew too much.,The Client,6.4,278
45000000,"Drama, Comedy",http://www.warnerbros.com/bucket-list,7350,"africa, himalaya, brain tumor, wife husband relationship, sense of life, male friendship, safari, dying and death, wish, journey round the world, terminal illness, billionaire, father daughter relationship, estranged father, elderly, bucket list, taj mahal",en,The Bucket List,"Corporate billionaire Edward Cole and working class mechanic Carter Chambers are worlds apart. At a crossroads in their lives, they share a hospital room and discover they have two things in common: a desire to spend the time they have left doing everything they ever wanted to do and an unrealized need to come to terms with who they are. Together they embark on the road trip of a lifetime, becoming friends along the way and learning to live life to the fullest, with insight and humor.",31.305336,"Two Ton Films, Zadan / Meron Productions, Reiner / Greisman Productions",United States of America,2007-12-25,175372502,97.0,English,Released,Find the joy.,The Bucket List,7.0,1111
45000000,"Drama, Action, Thriller, Crime",,9869,"assassination, assassin, repayment, ira, jack ryan",en,Patriot Games,"When CIA Analyst Jack Ryan interferes with an IRA assassination, a renegade faction targets Jack and his family as revenge.",19.637704,"Paramount Pictures, Mace Neufeld Productions",United States of America,1992-06-04,178051587,117.0,English,Released,Not for honor. Not for country. For his wife and child.,Patriot Games,6.3,433
43000000,"Romance, Comedy",,4379,"bad mother-in-law, surgeon, dogsitter, falling in love",en,Monster-in-Law,"Office temp Charlotte Cantilini thinks she's found Mr. Right when she starts dating gorgeous surgeon Dr. Kevin Fields. But there's a problem standing in the way of everlasting bliss: Kevin's overbearing and controlling mother, Viola. Fearing she'll lose her son's affections forever, Viola decides to break up the happy couple by becoming the world's worst mother-in-law.",10.411996,"New Line Cinema, Spring Creek Productions, BenderSpink, Kumar Mobiliengesellschaft mbH & Co. Projekt Nr. 1 KG","United States of America, Germany",2005-05-13,154749918,101.0,"Český, English, Português",Released,This relationship is going to be a real mother.,Monster-in-Law,5.6,406
46000000,"Drama, Thriller, Crime",http://prisonersmovie.warnerbros.com/,146233,"pennsylvania, kidnapping, maze, vigilante, rural setting, candlelight vigil",en,Prisoners,"When Keller Dover's daughter and her friend go missing, he takes matters into his own hands as the police pursue multiple leads and the pressure mounts. But just how far will this desperate father go to protect his family?",88.496873,"Alcon Entertainment, Madhouse Entertainment, 8:38 Productions",United States of America,2013-09-18,122126687,153.0,English,Released,Every moment matters.,Prisoners,7.9,3085
45000000,"Action, Crime, Drama, Thriller",,2034,"police brutality, war on drugs, drug traffic, drug dealer, los angeles, gang member, mexican american, barrio, cholo",en,Training Day,"On his first day on the job as a narcotics officer, a rookie cop works with a rogue detective who isn't what he appears.",52.081131,"Village Roadshow Pictures, NPV Entertainment, Warner Bros., Outlaw Productions (I), WV Films II","Australia, United States of America",2001-10-05,104876233,122.0,"English, Pусский, Español, 한국어/조선말",Released,"The only thing more dangerous than the line being crossed, is the cop who will cross it.",Training Day,7.3,1634
45000000,"Comedy, Family, Science Fiction",,926,"space battle, spaceship, spoof, fictional tv show",en,Galaxy Quest,"The stars of a 1970s sci-fi show - now scraping a living through re-runs and sci-fi conventions - are beamed aboard an alien spacecraft. Believing the cast's heroic on-screen dramas are historical documents of real-life adventures, the band of aliens turn to the ailing celebrities for help in their quest to overcome the oppressive regime in their solar system.",30.816341,"DreamWorks SKG, Gran Via Productions",United States of America,1999-12-23,90683916,102.0,English,Released,A comedy of Galactic Proportions.,Galaxy Quest,6.9,710
45000000,Comedy,,4248,"sex, exorcism, secret door",en,Scary Movie 2,"While the original parodied slasher flicks like Scream, Keenen Ivory Wayans's sequel to Scary Movie takes comedic aim at haunted house movies. A group of students visit a mansion called ""Hell House,"" and murderous high jinks ensue.",35.376971,"Gold/Miller Productions, Wayans Bros. Entertainment, Dimension Films, Brad Grey Pictures","Canada, United States of America",2001-07-04,141220678,83.0,English,Released,No More Mercy. No More Shame. No More Sequels - Honest! - We Lied.,Scary Movie 2,5.4,982
45000000,"Comedy, Family, Music",http://disney.go.com/muppets/,64328,"musical, the muppets, robot, oil tycoon, studio tour, duringcreditsstinger",en,The Muppets,"When Kermit the Frog and the Muppets learn that their beloved theater is slated for demolition, a sympathetic human, Gary, and his puppet roommate, Walter, swoop in to help the gang put on a show and raise the $10 million they need to save the day.",17.047276,Walt Disney Pictures,United States of America,2011-11-22,165184237,103.0,English,Released,They're closer than you think.,The Muppets,6.5,501
45000000,"Horror, Action",http://www.warnerbros.com/blade,36647,"suicide, hero, vampire, bite, fistfight, supernatural, vampire hunter, superhero, rivalry, tragic hero, good vs evil, one man army, extreme violence, martial arts master, scientist, violence, disarming someone, blade, machine gun, english subtitles in original, hypodermic needle, microscope, secret headquarters, bullet dodging, bullet time, kicked in the groin, x rayed skeleton, mouth guard, escapade, imaginary, deadly, master warrior, supernatural ability, fang vamp",en,Blade,"When Blade's mother was bitten by a vampire during pregnancy, she did not know that she gave her son a special gift while dying: All the good vampire attributes in combination with the best human skills. Blade and his mentor Whistler battle an evil vampire rebel (Deacon Frost) who plans to take over the outdated vampire council, capture Blade and resurrect voracious blood god La Magra.",43.815492,"New Line Cinema, Amen Ra Films, Imaginary Forces, Marvel Enterprises",United States of America,1998-08-21,131183530,120.0,"Pусский, English",Released,Part Man. Part Vampire. All Hero.,Blade,6.5,1905
30000000,Drama,,7214,"black people, autoritian education, sport, high school, scholarship, basketball, violence in schools, teacher, teachers and students",en,Coach Carter,"Based on a true story, in which Richmond High School head basketball coach Ken Carter made headlines in 1999 for benching his undefeated team due to poor academic results.",23.234651,"Paramount Pictures, MTV Films, Tollin/Robbins Productions","Germany, United States of America",2005-01-14,76669806,136.0,English,Released,It begins on the street. It ends here.,Coach Carter,7.3,496
45000000,"Action, Adventure, Crime, Thriller",,1537,"new york, custody battle, suspense, lawyer",en,Changing Lanes,"A rush-hour fender-bender on New York City's crowded FDR Drive, under most circumstances, wouldn't set off a chain reaction that could decimate two people's lives. But on this day, at this time, a minor collision will turn two complete strangers into vicious adversaries. Their means of destroying each other might be different, but their goals, ultimately, will be the same: Each will systematically try to dismantle the other's life in a reckless effort to reclaim something he has lost.",17.270539,Paramount Pictures,United States of America,2002-04-07,94935764,89.0,English,Released,"An ambitious lawyer, a desperate father, they had no reason to meet, until today,",Changing Lanes,5.9,299
45000000,"Adventure, Horror, Thriller",,9360,"amazon, jungle, anaconda, film crew, killer snake, river boat, amazon river, animal horror",en,Anaconda,"A ""National Geographic"" film crew is taken hostage by an insane hunter, who takes them along on his quest to capture the world's largest - and deadliest - snake.",27.684779,"Columbia Pictures Corporation, Middle Fork Productions, Iguana Producciones, Skylight Cinema Foto Art, St. Tropez Films, Cinema Line Film Corporation","Brazil, Peru, United States of America",1997-04-11,136885767,89.0,English,Released,When You Can't Breathe You Can't Scream.,Anaconda,4.7,610
45000000,Comedy,,6282,"bar, musical, beautiful woman",en,Coyote Ugly,"Graced with a velvet voice, 21-year-old Violet Sanford heads to New York to pursue her dream of becoming a songwriter only to find her aspirations sidelined by the accolades and notoriety she receives at her ""day"" job as a barmaid at Coyote Ugly. The ""Coyotes"" as they are affectionately called tantalize customers and the media alike with their outrageous antics, making Coyote Ugly the watering hole for guys on the prowl.",26.79781,"Jerry Bruckheimer Films, Touchstone Pictures",United States of America,2000-07-30,113916474,100.0,English,Released,This party never ends.,Coyote Ugly,5.8,575
40000000,"Comedy, Romance, Drama",http://www.loveactually.com/,508,"london england, male nudity, female nudity, love at first sight, usa president, marseille, office, christmas party, marriage proposal, bars and restaurants, press conference, language barrier, prime minister, rock star, tv show, metal detector, war on terror, school performance, multiple storylines",en,Love Actually,Follows seemingly unrelated people as their lives begin to intertwine while they fall in – and out – of love. Affections languish and develop as Christmas draws near.,37.073127,"Universal Pictures, DNA Films, StudioCanal, Working Title Films","United Kingdom, United States of America",2003-09-07,244931766,135.0,"English, Français, Português",Released,The ultimate romantic comedy.,Love Actually,7.0,1869
120000000,"Adventure, Animation, Comedy, Family",http://movies.disney.com/a-bugs-life,9487,"winter, fight, ant, invention, collector, ant-hill, kids and family, grass, duringcreditsstinger",en,A Bug's Life,"On behalf of ""oppressed bugs everywhere,"" an inventive ant named Flik hires a troupe of warrior bugs to defend his bustling colony from a horde of freeloading grasshoppers led by the evil-minded Hopper.",87.350802,"Walt Disney Pictures, Pixar Animation Studios",United States of America,1998-11-25,363258859,95.0,English,Released,An epic presentation of miniature proportions.,A Bug's Life,6.8,2303
35000000,"Horror, Mystery, Thriller",,768,"loss of family, drug addiction, jack the ripper",en,From Hell,Frederick Abberline is an opium-huffing inspector from Scotland Yard who falls for one of Jack the Ripper's prostitute targets in this Hughes brothers adaption of a graphic novel that posits the Ripper's true identity.,26.134678,"Twentieth Century Fox Film Corporation, Underworld Entertainment","Czech Republic, United Kingdom",2001-10-19,74558115,122.0,"English, Magyar, Pусский",Released,Only the legend will survive.,From Hell,6.6,741
45000000,"Action, Thriller",,2636,"explosive, revenge, explosives expert",en,The Specialist,"May Munro is a woman obsessed with getting revenge on the people who murdered her parents when she was still a girl. She hires Ray Quick, a retired explosives expert to kill her parent's killers. When Ned Trent, embittered ex-partner of Quick's is assigned to protect one of Quick's potential victims, a deadly game of cat and mouse ensues.",16.582709,"Jerry Weintraub Productions, Warner Bros., Iguana Producciones","Peru, United States of America",1994-10-07,170362582,110.0,English,Released,The government taught him to kill. Now he's using his skills to help a woman seek revenge against the Miami underworld.,The Specialist,5.5,313
45000000,"Comedy, Drama, Romance",,10478,"lover (female), golf, man-woman relation, sport, woman between two men",en,Tin Cup,A washed up golf pro working at a driving range tries to qualify for the US Open in order to win the heart of his succesful rival's girlfriend.,10.731574,"Regency Enterprises, Warner Bros.",United States of America,1996-08-16,53854588,135.0,English,Released,Golf Pro. Love Amateur.,Tin Cup,5.9,150
0,"Comedy, Drama, Family",,27983,"nurse, widow, children, parent, sibling",en,"Yours, Mine and Ours","When a widower with 10 children marries a widow with 8, can the 20 of them ever come together as one big happy family?",2.094151,"Desilu Productions, Walden Productions",United States of America,1968-04-24,0,111.0,English,Released,Their wedding night set new attendence records,"Yours, Mine and Ours",6.2,26
45000000,"Romance, Comedy, Family",,9981,"father son relationship, generations confilct, sport, amateur soccer, soccer coach",en,Kicking & Screaming,"Phil Weston has been unathletic his entire life. In college he failed at every sport that he tried out for. It looks like his 10-year old son, Sam, is following in his footsteps. But with becoming the coach of The Soccers, an already successful soccer team, everything changes.",8.99269,Universal Pictures,United States of America,2005-05-13,56070433,95.0,"English, Italiano",Released,One man could lead this team to glory. . . That man was busy,Kicking & Screaming,5.6,176
50000000,"Adventure, Comedy, Family, Science Fiction",,7453,"bureaucracy, england, dolphin, android, based on novel, chase, space travel, galaxy, spaceship, alien, stop motion, survival, hitchhiker, robot, alien invasion, everyman, hyperspace, meaning of life, based on radio show, alien attack, bathrobe, destruction of earth, intergalactic travel, islington england, talking robot",en,The Hitchhiker's Guide to the Galaxy,"Mere seconds before the Earth is to be demolished by an alien construction crew, Arthur Dent is swept off the planet by his friend Ford Prefect, a researcher penning a new edition of ""The Hitchhiker's Guide to the Galaxy.""",51.742065,"Spyglass Entertainment, Everyman Pictures, Hammer & Tongs, Touchstone Pictures",United States of America,2005-01-15,104478416,109.0,English,Released,Don't leave Earth without it.,The Hitchhiker's Guide to the Galaxy,6.6,1315
45000000,"Horror, Action, Science Fiction",http://www.sonypictures.com/movies/residentevilextinction/index.html,7737,"clone, mutant, post-apocalyptic, dystopia, conspiracy, evil corporation, zombie, based on video game",en,Resident Evil: Extinction,"Years after the Racoon City catastrophe, survivors travel across the Nevada desert, hoping to make it to Alaska. Alice joins the caravan and their fight against hordes of zombies and the evil Umbrella Corp.",12.06538,"Impact Pictures, Davis-Films, Constantin Film Produktion, Resident Evil Productions","Australia, France, Germany, United Kingdom, United States of America",2007-09-20,148412065,94.0,English,Released,The Extinction Is Coming...,Resident Evil: Extinction,6.1,1292
40000000,Comedy,,232672,"africa, blind date, relationship, family vacation, family",en,Blended,"After a bad blind date, a man and woman find themselves stuck together at a resort for families, where their attractions grows as their respective kids benefit from the burgeoning relationship.",44.120328,"Happy Madison Productions, Karz Entertainment, Warner Bros., Gulfstream Pictures",United States of America,2014-05-21,123494610,117.0,English,Released,"Single Dad, No Clue. Single Mum, Flying Solo.",Blended,6.6,1006
45000000,"Action, Adventure, Crime, Thriller",,8987,"river, robber, boston, bank robber, marriage crisis, hostage-taking, rafting, criminal, white water rafting",en,The River Wild,"While on a family vacation,  rafting expert Gail takes on a pair of armed killers while navigating a spectacularly violent river.",12.362876,"Universal Pictures, David Foster Productions, Turman-Foster Company",United States of America,1994-09-30,0,111.0,English,Released,The vacation is over,The River Wild,6.1,210
45000000,"Adventure, Family, Fantasy",,11359,"cupboard, games, puppet, parallel world, toy comes to life",en,The Indian in the Cupboard,A nine-year-old boy gets a plastic Indian and a cupboard for his birthday and finds himself involved in adventure when the Indian comes to life and befriends him.,11.095914,"Paramount Pictures, Columbia Pictures Corporation, The Kennedy/Marshall Company",United States of America,1995-07-14,0,96.0,English,Released,,The Indian in the Cupboard,5.9,134
45000000,"Crime, Drama, Thriller",http://www.savagesfilm.com/,82525,"widow, american abroad, eye gouging, dea agent, shot in the shoulder, gun in mouth, filmed killing, southern california, improvised explosive device, surrogate daughter, shot in the throat, laguna beach california, enforcer, gardner, skull mask, dea",en,Savages,Pot growers Ben and Chon face off against the Mexican drug cartel who kidnapped their shared girlfriend.,31.856589,"Ixtlan, Relativity Media, Onda Entertainment",United States of America,2012-07-06,82966152,131.0,English,Released,Young Beautiful Deadly.,Savages,6.2,766
25000000,"Action, Adventure, Crime, Thriller",http://www.cellularthemovie.com/,9759,"bank, mobile phone, telephone, weapon, police, duringcreditsstinger",en,Cellular,A young man receives an emergency phone call on his cell phone from an older woman. She claims to have been kidnapped – and the kidnappers have targeted her husband and child next.,24.459948,New Line Cinema,"Germany, United States of America",2004-09-06,56422687,94.0,English,Released,If the signal dies so does she,Cellular,6.1,537
